id,station_name,province,lon,lat,elev,SL50 (kPa)
15,CHEMAINUS,BC,-123.742,48.935,75,2.2
78,SAANICHTON CDA,BC,-123.419,48.6217,61,1.4
91,SHAWNIGAN LAKE,BC,-123.626,48.6469,159,2.4
109,VICTORIA GONZALES HTS,BC,-123.325,48.4131,70,1.3
149,ALERT BAY,BC,-126.933,50.5833,59,1.6
159,CAMPBELL RIVER A,BC,-125.273,49.9519,109,1.6
170,CHATHAM POINT,BC,-125.446,50.3332,23,2.1
174,COMOX A,BC,-124.9,49.7167,26,1.6
214,NANAIMO A,BC,-123.87,49.0544,28,2.5
228,PORT HARDY A,BC,-127.366,50.6803,22,0.7
236,QUALICUM R FISH RESEARCH,BC,-124.617,49.3938,8,1.2
267,BULL HARBOUR,BC,-127.95,50.9167,14,0.9
270,CAPE SCOTT,BC,-128.427,50.7822,72,0.4
277,ESTEVAN POINT,BC,-126.543,49.3833,6,0.9
319,TOFINO A,BC,-125.773,49.0822,24,1.1
354,GIBSONS GOWER POINT,BC,-123.541,49.3856,34,0.9
366,MERRY ISLAND LIGHTSTATION,BC,-123.913,49.4675,7,0.5
393,SQUAMISH UPPER,BC,-123.281,49.8958,46,4.6
402,WHISTLER,BC,-122.955,50.1289,658,5.4
409,CAPE ST JAMES,BC,-131.017,51.9333,92,0.8
417,LANGARA,BC,-133.058,54.2552,43,1.3
432,SANDSPIT A,BC,-131.813,53.2539,6,1.3
465,ETHELDA BAY,BC,-129.683,53.05,10,1.8
469,GREEN ISLAND,BC,-130.708,54.5686,12,0.7
489,MCINNES ISLAND,BC,-128.719,52.2617,26,1.1
500,PRINCE RUPERT A,BC,-130.445,54.2925,35,1.7
517,STEWART A,BC,-129.985,55.9361,7,9
522,TERRACE A,BC,-128.577,54.4664,217,5.5
568,NASS CAMP,BC,-129.03,55.2375,195,5.8
575,SMITHERS A,BC,-127.183,54.8247,522,2.7
724,PRINCE GEORGE A,BC,-122.679,53.8908,691,2.9
737,QUESNEL A,BC,-122.51,53.0261,545,3.5
747,SPOKIN LAKE 4E,BC,-121.686,52.1836,1033,3.2
759,WILLIAMS LAKE A,BC,-122.054,52.1831,940,3.2
782,ABBOTSFORD A,BC,-122.36,49.0253,59,1.5
789,AGASSIZ CDA,BC,-121.76,49.2431,15,1.7
1095,HOPE A,BC,-121.498,49.3683,39,3.1
1103,HOPE SLIDE,BC,-121.233,49.2667,685,5
1118,LYTTON,BC,-121.583,50.2333,229,2
1147,HEDLEY,BC,-120.077,49.3572,517,1.4
1157,KELOWNA A,BC,-119.378,49.9561,430,1.4
1217,PENTICTON A,BC,-119.602,49.4631,344,0.8
1220,PRINCETON A,BC,-120.513,49.4678,702,2.6
1237,VERNON NORTH,BC,-119.271,50.3443,538,1.7
1243,WINFIELD,BC,-119.416,50.0366,506,1.4
1278,CASTLEGAR A,BC,-117.632,49.2964,496,2.7
1287,CRESTON,BC,-116.518,49.0971,610,1.9
1318,NEW DENVER,BC,-117.37,49.9958,568,2.7
1343,NELSON RIXEN CREEK,BC,-117.399,49.5123,760,3.8
1355,CRANBROOK A,BC,-115.782,49.6122,940,2
1392,SPARWOOD,BC,-114.883,49.7453,1138,1.9
1418,BLUE RIVER A,BC,-119.29,52.129,690,5.7
1442,CRISS CREEK,BC,-120.728,51.0297,1122,2.1
1443,DARFIELD,BC,-120.183,51.2918,466,1.5
1461,KAMLOOPS A,BC,-120.442,50.7022,345,1.5
1497,100 MILE HOUSE 6NE,BC,-121.217,51.6814,928,2.6
1516,SILVER CREEK,BC,-119.35,50.5452,419,2.2
1542,VIDETTE LAKE SHARPE LAKE,BC,-120.839,51.3265,1083,1.8
1566,GLACIER NP ROGERS PASS,BC,-117.517,51.3017,1330,9.9
1568,GOLDEN A,BC,-116.982,51.2992,785,2.9
1579,REVELSTOKE AIRPORT RD,BC,-118.166,50.9533,450,5.7
1597,GLACIER NP MT FIDELITY,BC,-117.701,51.2382,1890,20.4
1615,CHETWYND A,BC,-121.627,55.6872,610,2.1
1630,FORT ST JOHN A,BC,-120.74,56.2381,695,3.6
1634,GERMANSEN LANDING,BC,-124.701,55.7855,766,3.5
1683,DEASE LAKE,BC,-130.011,58.4283,807,3.1
1686,FORT NELSON A,BC,-122.597,58.8364,382,2.7
1769,BURWASH A,YT,-139.05,61.3667,806,1.5
1780,DAWSON,YT,-139.433,64.05,320,3.3
1782,DAWSON A,YT,-139.128,64.0431,370,2.3
1796,FARO A,YT,-133.373,62.2069,716,1.8
1806,HAINES JUNCTION,YT,-137.58,60.7725,595,2
1829,MAYO A,YT,-135.867,63.6167,504,2.8
1879,TESLIN A,YT,-132.736,60.1741,705,3.2
1887,WATSON LAKE A,YT,-128.822,60.1165,687,3.3
1893,WHITEHORSE A,YT,-135.069,60.7095,706,2
1912,CAPE PARRY A,NT,-124.717,70.1667,87,1.1
1944,FORT RELIANCE,NT,-109.167,62.7167,166,2.8
1947,FORT RESOLUTION A,NT,-113.69,61.1808,160,2.9
1951,FORT SIMPSON A,NT,-121.237,61.7603,169,2.7
1959,FORT SMITH A,NT,-111.962,60.0203,205,2.4
1968,HAY RIVER A,NT,-115.783,60.8397,165,3
1979,INUVIK A,NT,-133.483,68.3042,68,3
1994,NORMAN WELLS A,NT,-126.8,65.2825,73,3.8
2027,TUKTOYAKTUK,NT,-133,69.45,18,1.8
2029,TUKTOYAKTUK A,NT,-133.026,69.4333,4,2.1
2042,YELLOWKNIFE A,NT,-114.44,62.4628,206,1.9
2047,YOHIN,NT,-123.742,61.2419,204,2.5
2064,BAKER LAKE A,NU,-96.0778,64.2989,19,3.2
2072,CHESTERFIELD,NU,-90.7167,63.3333,6,3.2
2077,CLINTON POINT,NU,-120.8,69.5833,101,1.6
2078,CONTWOYTO LAKE,NU,-110.367,65.4833,451,4
2079,COPPERMINE,NU,-115.117,67.8333,9,2.6
2080,KUGLUKTUK A,NU,-115.144,67.8167,23,2.9
2086,CORAL HARBOUR A,NU,-83.3594,64.1933,62,2.7
2091,ENNADAI LAKE,NU,-100.9,61.1333,325,2.8
2110,PELLY BAY,NU,-89.7167,68.4333,326,3.3
2117,RANKIN INLET A,NU,-92.1167,62.8167,32,2.4
2141,ALERT,NU,-62.2806,82.5178,30,2.3
2155,FOX FIVE,NU,-63.7889,67.5356,584,6.3
2162,BYRON BAY A,NU,-109.067,68.75,92,1.2
2163,CAMBRIDGE BAY A,NU,-105.138,69.1081,31,1.6
2173,CAPE DYER A,NU,-61.6167,66.5833,393,8.4
2175,CAPE HOOPER,NU,-66.8153,68.4725,390,5.2
2179,CLYDE A,NU,-68.5167,70.4861,26,4.8
2186,DEWAR LAKES,NU,-71.1667,68.65,527,3.9
2193,EUREKA A,NU,-85.9333,79.9833,10,0.9
2200,GLADMAN POINT A,NU,-97.8,68.6667,14,1.2
2204,HALL BEACH A,NU,-81.2425,68.7758,9,2.2
2216,IQALUIT A,NU,-68.55,63.75,34,2.3
2221,ISACHSEN,NU,-103.533,78.7833,25,1.6
2230,LONGSTAFF BLUFF,NU,-75.1408,68.8986,161,3.4
2231,MACKAR INLET,NU,-85.6667,68.3,395,2.8
2263,RESOLUTE CARS,NU,-94.9694,74.7169,68,1.4
2295,MOULD BAY A,NT,-119.333,76.2333,12,1.2
2299,SACHS HARBOUR A,NT,-125.267,72,86,1.1
2332,BRIGHTVIEW,AB,-113.717,52.9833,815,1.8
2363,CORONATION A,AB,-111.45,52.0667,791,1.8
2385,EDMONTON CITY CENTRE A,AB,-113.518,53.5733,671,1.7
2387,EDMONTON NAMAO A,AB,-113.467,53.6667,688,1.7
2394,EDMONTON STONY PLAIN,AB,-114.108,53.5475,766,1.4
2468,LLOYDMINSTER A,AB,-110.072,53.3092,668,1.2
2501,PARADISE VALLEY,AB,-110.35,53.1167,658,1.2
2518,ROCKY MTN HOUSE,AB,-114.917,52.3833,1015,2.5
2567,UNCAS,AB,-113.033,53.5,750,2
2570,VEGREVILLE CDA,AB,-112.033,53.4833,636,1.4
2572,VERMILION A,AB,-110.833,53.35,619,2.1
2719,LACOMBE CDA,AB,-113.75,52.4667,847,2
2731,MARKERVILLE,AB,-114.133,52.1167,914,2.1
2757,RED DEER A,AB,-113.893,52.1786,905,1.9
2883,COCHRANE,AB,-114.434,51.1969,1332,1.6
2938,LETHBRIDGE A,AB,-112.8,49.6303,929,0.9
2943,LETHBRIDGE CDA,AB,-112.767,49.695,910,1
2955,MEDICINE HAT A,AB,-110.721,50.0189,717,1.1
3017,SUFFIELD A,AB,-111.183,50.2667,770,1.2
3049,OKOTOKS,AB,-113.961,50.7292,1081,1.1
3096,BANFF,AB,-115.567,51.1833,1384,3.2
3153,JASPER,AB,-118.067,52.8833,1062,2.8
3159,KANANASKIS,AB,-115.035,51.0275,1391,2.3
3317,EDSON A,AB,-116.467,53.5833,927,3
3336,FORT MCMURRAY A,AB,-111.217,56.65,369,1.8
3427,RONAN,AB,-115.25,53.8833,732,2.6
3441,SHINING BANK,AB,-115.967,53.85,829,2.3
3450,SLAVE LAKE A,AB,-114.783,55.3,581,2.8
3474,WHITECOURT,AB,-115.667,54.1333,741,3
3476,WHITECOURT A,AB,-115.787,54.1439,782,2.8
3508,BEAVERLODGE CDA,AB,-119.4,55.2,745,2.9
3554,FAIRVIEW,AB,-118.383,56.0667,670,2.6
3569,FORT VERMILION CDA,AB,-116.033,58.3833,279,2.3
3584,GRANDE PRAIRIE A,AB,-118.885,55.1797,669,2.7
3595,HIGH LEVEL A,AB,-117.165,58.6214,338,2.6
3651,PEACE RIVER A,AB,-117.447,56.2269,571,1.9
3742,COLD LAKE A,AB,-110.283,54.4167,541,1.7
3766,BROADVIEW,SK,-102.571,50.3681,600,1.2
3808,ESTEVAN A,SK,-102.967,49.2167,580,1.5
3814,FENWOOD,SK,-103.067,51.15,625,1.6
3863,LEROY,SK,-104.633,52,535,2.1
3884,MOOSE JAW A,SK,-105.567,50.3333,577,1
3928,REGINA CDA,SK,-104.567,50.4,573,1.2
3977,WEYBURN,SK,-103.833,49.65,570,2
3979,WHITEWOOD,SK,-102.267,50.35,598,2.7
3985,WYNYARD,SK,-104.2,51.7667,561,0.8
3992,YORKTON A,SK,-102.467,51.2667,498,2.5
4012,BEECHY,SK,-107.311,50.832,660,1.7
4086,ROCK POINT,SK,-107.263,51.1539,725,0.7
4101,SWIFT CURRENT (HYBRID),SK,-107.708,50.28335,821,1.1
4162,BICKLEIGH,SK,-108.407,51.2944,676,1
4163,BIGGAR,SK,-107.983,52.0667,671,1.3
4164,BUTTE ST PIERRE,SK,-109.2,53.45,572,1.2
4184,KINDERSLEY A,SK,-109.183,51.5167,694,1.1
4187,KINDERSLEY KY,SK,-109.167,51.4667,683,1.8
4200,NORTH BATTLEFORD A,SK,-108.256,52.7719,548,2
4240,CAMEO,SK,-106.55,53.2833,488,1.5
4285,PRINCE ALBERT A,SK,-105.667,53.2167,428,1.4
4305,SASKATOON SRC,SK,-106.6,52.15,497,0.9
4332,BUFFALO NARROWS A,SK,-108.433,55.8333,434,1.7
4337,CIGAR LAKE,SK,-104.483,58.0833,467,2.8
4346,CREE LAKE,SK,-107.133,57.35,495,1.7
4363,KEY LAKE,SK,-105.617,57.25,509,2.4
4369,LA RONGE A,SK,-105.267,55.15,379,2.2
4378,MEADOW LAKE A,SK,-108.517,54.1333,481,1.2
4396,STONY RAPIDS A,SK,-105.833,59.25,245,3
4397,URANIUM CITY A,SK,-108.483,59.5667,318,2.6
4418,NIPAWIN A,SK,-104,53.3333,372,1.7
4443,HUDSON BAY,SK,-102.4,52.8667,372,2.9
4457,PELLY 2,SK,-101.9,51.7333,499,1.8
4475,BRANDON A,MB,-99.9519,49.91,409,2.2
4531,PORTAGE SOUTHPORT A,MB,-98.2667,49.9,270,2.1
4587,ROBLIN FRIESEN 3 NORTHWEST,MB,-101.4,51.2667,556,1.7
4588,RIVERS PETTAPIECE,MB,-100.179,50.1082,488,3.4
4644,MARQUETTE,MB,-97.8071,50.0134,244,2.3
4648,MIAMI THIESSEN,MB,-98.25,49.45,297,1.6
4651,MORDEN CDA,MB,-98.0833,49.1833,298,2.2
4664,OAKBANK,MB,-96.85,49.9333,246,2.4
4674,PILOT MOUND (AUT),MB,-98.9049,49.191,470,2.1
4787,GIMLI,MB,-97.0167,50.6333,223,1.5
4802,HODGSON 2,MB,-97.4651,51.1861,232,4.5
4843,DAUPHIN A,MB,-100.05,51.1,304,1.5
4859,GILBERT PLAINS,MB,-100.467,51.1,404,2.2
4939,FLIN FLON A,MB,-101.683,54.6833,304,1.9
4947,THE PAS A,MB,-101.1,53.9667,270,2.6
4957,CHURCHILL A,MB,-94.0664,58.7392,29,2.6
4970,GILLAM A,MB,-94.7106,56.3575,145,3
4976,ISLAND LAKE A,MB,-94.65,53.85,236,2.6
4988,LYNN LAKE A,MB,-101.076,56.8639,357,2.6
5018,THOMPSON A,MB,-97.8625,55.8033,224,2.4
5029,NORWAY HOUSE A,MB,-97.85,53.95,224,2.6
5034,BIG TROUT LAKE,ON,-89.8667,53.8333,224,4.2
5044,LANSDOWNE HOUSE,ON,-87.8833,52.2333,254,4.1
5053,PICKLE LAKE A,ON,-90.2142,51.4464,386,1.8
5060,RED LAKE A,ON,-93.7931,51.0669,386,3.3
5069,ATIKOKAN,ON,-91.6167,48.75,395,2.9
5099,DRYDEN A,ON,-92.75,49.8333,413,1.9
5110,KENORA A,ON,-94.3653,49.7903,410,3.9
5123,SIOUX LOOKOUT A,ON,-91.9,50.1167,383,3.4
5138,ARMSTRONG (AUT),ON,-88.9053,50.2936,322,4.8
5157,GERALDTON A,ON,-86.9306,49.7828,348,2.9
5224,THUNDER BAY A,ON,-89.3272,48.3694,199,3.5
5239,WHITEFISH LAKE,ON,-89.9167,48.2833,399,3.8
5283,SAULT STE MARIE A,ON,-84.5094,46.4833,192,4.3
5295,WHITE RIVER,ON,-85.2833,48.6,379,3.1
5296,WAWA A,ON,-84.7833,47.9667,287,5.2
5304,CHAPLEAU A,ON,-83.3467,47.82,448,3.1
5329,SUDBURY A,ON,-80.7978,46.6256,348,3.7
5346,EARLTON A,ON,-79.85,47.7,243,5.2
5358,KAPUSKASING CDA,ON,-82.4333,49.4,218,3
5359,KAPUSKASING A,ON,-82.4675,49.4139,226,3.8
5375,MOOSONEE UA,ON,-80.65,51.2667,10,3.5
5393,TIMMINS VICTOR POWER A,ON,-81.3767,48.5697,295,4.3
5408,DWIGHT,ON,-78.9,45.3833,404,4.1
5418,NORTH BAY A,ON,-79.4228,46.3636,370,3.8
5431,GORE BAY A,ON,-82.5667,45.8833,194,3.7
5515,HARTINGTON IHD,ON,-76.6903,44.4281,160,2.4
5524,KINGSTON A,ON,-76.5967,44.2186,92,2.1
5570,OTTAWA CDA,ON,-75.7167,45.3833,79,2
5595,PETAWAWA A,ON,-77.3167,45.95,130,3.2
5646,ALLISTON NELSON,ON,-79.8722,44.1514,221,1.8
5690,COOKSTOWN,ON,-79.6947,44.2067,244,1.6
5694,DUNCHURCH,ON,-79.8833,45.6167,268,3.4
5735,MUSKOKA A,ON,-79.3,44.9667,282,3.9
5759,POWASSAN,ON,-79.25,46.1167,274,3.1
5761,PRICEVILLE,ON,-80.6378,44.2036,472,2.9
5773,SHANTY BAY,ON,-79.6328,44.3995,250,3.4
5808,WIARTON A,ON,-81.1072,44.7458,222,3.8
5880,SARNIA AIRPORT,ON,-82.3047,42.9922,181,1.5
5921,DELHI CDA,ON,-80.55,42.8667,232,1.6
5996,ST CATHARINES A,ON,-79.1667,43.2,98,0.9
6006,SIMCOE,ON,-80.2667,42.85,240,1.7
6032,WATERFORD,ON,-80.2333,42.8833,222,1.2
6037,WINDSOR RIVERSIDE,ON,-82.9333,42.3333,188,1.2
6038,WINDSOR A,ON,-82.9556,42.2756,190,0.9
6077,DORCHESTER,ON,-81.0328,43.002,271,1.5
6137,MOUNT FOREST,ON,-80.75,43.9833,414,2.1
6169,WATERLOO WELLINGTON A,ON,-80.3833,43.45,317,1.8
6192,BELLEVILLE,ON,-77.3947,44.1506,76,1.8
6273,HAMILTON A,ON,-79.9342,43.1717,238,1.9
6278,HAMILTON RBG,ON,-79.8833,43.2833,102,1.4
6407,RICHMOND HILL,ON,-79.4478,43.8772,240,1.9
6413,SANDHILL,ON,-79.8081,43.8081,270,1.5
6417,SMITHFIELD CDA,ON,-77.6667,44.0833,119,1.2
6436,TORONTO,ON,-79.4,43.6667,112,1.3
6479,TORONTO ISLAND A,ON,-79.395,43.6286,76,1
6520,TRENTON A,ON,-77.5333,44.1167,86,1.4
6551,TORONTO BUTTONVILLE A,ON,-79.37,43.8622,198,1.5
6558,TORONTO NORTH YORK,ON,-79.4678,43.78,187,1.6
6577,HALIBURTON 3,ON,-78.5311,45.0322,330,2.7
